"","Trait","n","Source","Species"
"74","No. flowers/peduncle",1,"Non-Collected","Lentil"
"75","No. pods/peduncle",1,"Non-Collected","Lentil"
"76","No. pods/plant",1,"Non-Collected","Lentil"
"77","No. seeds/pod",1,"Non-Collected","Lentil"
"78","Pod dehiscence",1,"Non-Collected","Lentil"
"79","Pod shedding",1,"Non-Collected","Lentil"
"80","Seed yield/plant (g/plant)",1,"Non-Collected","Lentil"
"81","Branch angle",1,"Others","Lentil"
"82","Grain protein",1,"Others","Lentil"
"83","Number of branches",1,"Others","Lentil"
"84","Photo of plant at 50% flowering",1,"Others","Lentil"
"85","Days to 50% flowering",10,"Collected","Chickpea"
"86","100 Seed weight (g)",9,"Collected","Chickpea"
"87","Growth habit",8,"Collected","Chickpea"
"88","Days to maturity",8,"Non-Collected","Chickpea"
"89","Biotic stress suseptibility",6,"Non-Collected","Chickpea"
"90","Emergence",5,"Collected","Chickpea"
"91","Seed colour",5,"Collected","Chickpea"
"92","Abiotic stress suseptibiliy",5,"Non-Collected","Chickpea"
"93","Plant height (cm)",5,"Non-Collected","Chickpea"
"94","Seed protein content (% DW)",5,"Non-Collected","Chickpea"
"95","Seed image",4,"Collected","Chickpea"
"96","Seed shape",4,"Collected","Chickpea"
"97","Seed yield/plant (kg/ha)",4,"Non-Collected","Chickpea"
"98","Shattering",3,"Others","Chickpea"
"99","No. flowers &pods/peduncle",2,"Non-Collected","Chickpea"
"100","No. pods/plant",2,"Non-Collected","Chickpea"
"101","Flower colour",1,"Collected","Chickpea"
"102","Leaf type",1,"Non-Collected","Chickpea"
"103","No. primary branches",1,"Non-Collected","Chickpea"
"104","Plant hairiness",1,"Non-Collected","Chickpea"
"105","Ease  of pollination",1,"Others","Chickpea"
"106","Lodging",1,"Others","Chickpea"
"107","Photo of plant",1,"Others","Chickpea"
"108","Pods per plant",1,"Others","Chickpea"
"109","Days to 50% flowering",6,"Collected","Mung Bean"
"110","1000 Seed weight (g)",5,"Collected","Mung Bean"
"111","Growth habit",5,"Collected","Mung Bean"
"112","Photoperiod sensitivity",5,"Non-Collected","Mung Bean"
"113","No. seeds/pod",3,"Collected","Mung Bean"
"114","Seed image",3,"Collected","Mung Bean"
"115","Abiotic stress traits (x5)",3,"Non-Collected","Mung Bean"
"116","Flowering period",3,"Non-Collected","Mung Bean"
"117","No. pods/plant",3,"Non-Collected","Mung Bean"
"118","Nodulation",3,"Non-Collected","Mung Bean"
"119","Seed colour",3,"Non-Collected","Mung Bean"
"120","Seed yield/plant (g/plant)",3,"Non-Collected","Mung Bean"
"121","Seedling vigour",3,"Non-Collected","Mung Bean"
"122","Emergence",2,"Collected","Mung Bean"
"123","Biotic stress traits (x66)",2,"Non-Collected","Mung Bean"
"124","Growth habit",2,"Non-Collected","Mung Bean"
"125","Pod traits (x 11)",2,"Non-Collected","Mung Bean"
"126","Seed shape",2,"Non-Collected","Mung Bean"
"127","Lodging",2,"Others","Mung Bean"
"128","Branch traits (x 9)",1,"Non-Collected","Mung Bean"
"129","Leaf traits (x 12)",1,"Non-Collected","Mung Bean"
"130","Seed lustre",1,"Non-Collected","Mung Bean"
"131","Stem traits (x 2)",1,"Non-Collected","Mung Bean"
"132","Determinancy",1,"Others","Mung Bean"
"133","Maturity",1,"Others","Mung Bean"
"134","Shattering",1,"Others","Mung Bean"
